File,Total Time (minutes),Coding,Debugging,Testing,FC Flow Complexity,OV Object Vocabulary,OC Object Conjuration,AI Arithmetic Intricacy,DT Data Transfer,CM Comments,CS Code Structure,ID Inline Data,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\evaluation\correlation.java,69,62,6,1,3,37,12,5,1,0,7,2,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\Bike.java,163,145,14,3,5,83,35,8,8,0,20,1,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\ClassificationCrossValidationExample.java,200,181,15,3,0,120,21,22,11,8,12,3,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\Connect.java,472,413,48,10,97,189,84,14,33,3,43,6,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\Customer.java,111,98,10,2,11,64,18,0,5,0,11,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\Employee.java,163,145,14,3,5,101,29,0,7,0,18,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\EmployeeMap.java,100,88,9,2,10,64,12,0,4,0,8,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\HashMapTest2.java,406,361,36,8,42,254,55,0,28,0,24,2,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\JAXBTest.java,179,160,15,3,10,124,18,0,11,0,13,1,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\LoadingDataSetExample.java,282,248,27,6,61,115,42,19,19,0,19,3,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\Logging.java,61,55,5,0,0,41,8,0,3,0,6,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\MarshalDemo.java,167,150,13,2,0,129,17,0,9,0,10,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\MyPropAllKeys.java,235,207,23,5,40,120,33,2,16,0,21,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\MyValidationEventHandler.java,150,134,12,2,1,83,31,0,13,0,18,2,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\PhoneNumber.java,17,16,1,0,0,9,3,0,0,0,4,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\SQLNew.java,77,69,6,1,0,55,9,0,2,0,9,0,
